;position;squad;minutes;xg_per90;shoots_on_t_x_game;passes_x_game;dribbles_x_game;goals
6164;9;5;632.0;0.13;0.15789473684210525;0.631578947368421;0.2631578947368421;0.0
6165;3;5;1186.0;0.1;0.2857142857142857;1.4285714285714286;0.35714285714285715;2.0
6167;3;5;1228.0;0.0;0.0625;2.75;0.0625;0.0
6168;3;5;2620.0;0.06;0.1875;1.3125;0.34375;2.0
6169;9;5;850.0;0.47;0.5;0.3;0.2;4.0
6170;6;5;2223.0;0.05;0.10344827586206896;1.3793103448275863;1.0689655172413792;1.0
6171;9;5;2683.0;0.16;0.39473684210526316;1.131578947368421;1.263157894736842;2.0
6172;3;5;1020.0;0.02;0.0;1.2941176470588236;0.35294117647058826;0.0
6173;3;5;2076.0;0.01;0.08333333333333333;1.0416666666666667;0.3333333333333333;1.0
6174;1;5;480.0;0.1;0.07692307692307693;0.6153846153846154;0.9230769230769231;1.0
6175;3;5;442.0;0.12;0.5;1.5;0.3333333333333333;2.0
6176;6;5;575.0;0.07;0.2222222222222222;1.3333333333333333;0.5555555555555556;2.0
6177;6;5;1378.0;0.06;0.2608695652173913;1.826086956521739;0.391304347826087;1.0
6178;3;5;1599.0;0.0;0.0;1.2857142857142858;0.6190476190476191;0.0
6179;8;5;212.0;0.04;0.0;0.125;0.75;0.0
6180;1;5;1315.0;0.11;0.3333333333333333;1.9444444444444444;0.6111111111111112;2.0
6181;3;5;863.0;0.0;0.0;2.0;0.2727272727272727;0.0
6182;7;5;1863.0;0.16;0.7692307692307693;0.9615384615384616;3.923076923076923;3.0
6183;1;5;1672.0;0.06;0.2727272727272727;3.272727272727273;0.7272727272727273;2.0
6184;6;5;2119.0;0.1;0.5384615384615384;4.884615384615385;0.7692307692307693;6.0
6185;3;5;1493.0;0.04;0.3157894736842105;1.5789473684210527;1.5789473684210527;2.0
6186;3;5;938.0;0.07;0.0625;0.6875;0.3125;1.0
6187;5;4;1003.0;0.13;0.6923076923076923;1.9230769230769231;3.1538461538461537;1.0
6188;1;4;1122.0;0.03;0.0625;4.125;0.625;0.0
6190;7;4;490.0;0.2;0.4444444444444444;1.0;1.0;1.0
6191;3;4;1434.0;0.01;0.05;3.6;1.0;1.0
6192;4;4;50.0;0.22;0.0;1.0;0.0;0.0
6193;7;4;1629.0;0.16;0.5;1.0909090909090908;2.1363636363636362;1.0
6195;3;4;649.0;0.18;0.4;2.3;0.7;1.0
6196;6;4;1772.0;0.32;0.75;5.1;0.55;7.0
6197;3;4;1890.0;0.05;0.2857142857142857;4.095238095238095;0.47619047619047616;1.0
